name,ingredients,cuisine,time
Tomato Curry,tomato onion butter garlic,Indian,30
Pasta Alfredo,pasta cream cheese garlic,Italian,25
Chicken Tacos,chicken tortilla onion cilantro lime,Mexican,30
Beef Fried Rice,rice beef egg soy onion carrot,Chinese,20
Pad Thai,noodles shrimp egg peanut bean-sprout lime,Thai,25
Margherita Pizza,dough tomato mozzarella basil,Italian,35
Butter Chicken,chicken tomato cream butter garlic ginger,Indian,45
Spring Rolls,cabbage carrot shrimp wrapper ginger soy,Chinese,30
Guacamole,avocado lime onion cilantro tomato,Mexican,10
French Toast,bread egg milk butter cinnamon,American,15
Paneer Tikka,paneer yogurt pepper cumin turmeric,Indian,40
Beef Burrito,beef tortilla rice bean cheese salsa,Mexican,30
Tom Yum Soup,shrimp lemongrass mushroom lime chili,Thai,25
Spaghetti Bolognese,pasta beef tomato onion garlic oregano,Italian,45
Chicken Stir Fry,chicken broccoli carrot soy garlic ginger,Chinese,20
Caesar Salad,lettuce parmesan crouton anchovy lemon,American,15
Dal Tadka,lentil onion tomato cumin mustard ghee,Indian,35
Fish Tacos,fish tortilla cabbage lime sour-cream,Mexican,25
Pad See Ew,noodles chicken egg broccoli soy oyster,Thai,20
Mushroom Risotto,rice mushroom onion parmesan wine butter,Italian,40
Samosa,potato pea pastry cumin coriander,Indian,45
Kung Pao Chicken,chicken peanut pepper soy garlic ginger,Chinese,25
Enchiladas,tortilla chicken cheese salsa onion,Mexican,40
Green Curry,chicken coconut pepper basil eggplant,Thai,30
Pancakes,flour egg milk butter maple,American,20
Chana Masala,chickpea tomato onion garlic ginger cumin,Indian,40
Mapo Tofu,tofu pork bean-paste soy pepper garlic,Chinese,25
Beef Nachos,chip beef cheese jalapeno salsa sour-cream,Mexican,20
Mango Sticky Rice,rice mango coconut sugar,Thai,30
Tiramisu,mascarpone egg coffee ladyfinger sugar,Italian,30
Aloo Gobi,potato cauliflower tomato onion turmeric,Indian,35
Peking Duck,duck hoisin pancake cucumber scallion,Chinese,90
Chicken Quesadilla,chicken tortilla cheese pepper onion,Mexican,20
Tom Kha Gai,chicken coconut lemongrass mushroom lime,Thai,25
Penne Arrabbiata,pasta tomato chili garlic olive-oil,Italian,25
Biryani,rice chicken onion saffron yogurt spice,Indian,60
Dim Sum,pork shrimp wrapper ginger soy scallion,Chinese,45
Tamales,corn-dough pork chili tomato,Mexican,90
Massaman Curry,beef potato peanut coconut onion,Thai,45
Bruschetta,bread tomato basil garlic olive-oil,Italian,15
Masala Chai,tea milk cardamom ginger cinnamon sugar,Indian,15
Char Siu,pork honey soy garlic five-spice,Chinese,60
Salsa Verde,tomatillo cilantro onion garlic lime,Mexican,15
Basil Fried Rice,rice egg basil garlic chili soy,Thai,15
Lasagna,pasta beef tomato cheese bechamel,Italian,75
Rogan Josh,lamb tomato onion yogurt spice,Indian,60
Wonton Soup,pork shrimp wrapper broth ginger scallion,Chinese,30
Churros,flour butter egg sugar cinnamon,Mexican,30
Larb,chicken lime mint chili onion fish-sauce,Thai,20
Caprese Salad,tomato mozzarella basil olive-oil,Italian,10
Pav Bhaji,potato tomato onion butter pav,Indian,35
Egg Fried Rice,rice egg soy onion carrot pea,Chinese,15
Tostadas,tortilla bean cheese lettuce tomato,Mexican,20
Papaya Salad,papaya tomato lime peanut chili fish-sauce,Thai,15
Cacio e Pepe,pasta cheese pepper butter,Italian,20
Vindaloo,pork vinegar onion garlic chili spice,Indian,60
Scallion Pancake,flour scallion oil sesame,Chinese,25
Pozole,pork hominy onion chili oregano,Mexican,90
Khao Pad,rice egg soy garlic onion tomato,Thai,15
Gnocchi Pomodoro,gnocchi tomato basil garlic cheese,Italian,30
Rajma,kidney-bean tomato onion garlic ginger,Indian,50
Red Bean Soup,red-bean sugar coconut ginger,Chinese,40
Tamale Pie,beef cornbread bean tomato chili cheese,Mexican,45
Panaeng Curry,chicken coconut peanut lime kaffir,Thai,30
Osso Buco,veal tomato wine onion carrot celery,Italian,90
Dhokla,chickpea-flour yogurt mustard turmeric,Indian,30
Bok Choy Stir Fry,bok-choy garlic oyster soy ginger,Chinese,15
Taco Salad,beef lettuce tomato cheese tortilla-chip,Mexican,20
Khao Soi,noodle chicken coconut curry lime,Thai,40
Ribollita,bread bean kale tomato onion rosemary,Italian,60
Idli Sambar,rice lentil tomato onion mustard,Indian,30
Sesame Noodles,noodle sesame soy garlic ginger cucumber,Chinese,15
Chile Relleno,pepper beef cheese egg tomato,Mexican,45
Crying Tiger,beef lime chili fish-sauce shallot,Thai,25
Frittata,egg cheese spinach onion pepper,Italian,25
Upma,semolina onion mustard curry-leaf cashew,Indian,20
Malatang,tofu mushroom noodle broth spice,Chinese,30
Enfrijoladas,bean tortilla cheese onion cream,Mexican,25
Kha Nom Chin,noodle fish-sauce coconut vegetable lime,Thai,30
Pesto Pasta,pasta basil pine-nut parmesan garlic,Italian,20
Uttapam,rice-batter onion tomato chili coriander,Indian,20
Lion Head Meatball,pork cabbage soy ginger egg broth,Chinese,45
Huevos Rancheros,egg tortilla salsa bean cheese,Mexican,20
Satay,chicken peanut lemongrass soy lime,Thai,30
Pizza Bianca,dough ricotta garlic olive-oil rosemary,Italian,30
Kofta Curry,beef onion tomato yogurt spice,Indian,45
Steamed Fish,fish ginger soy scallion sesame,Chinese,20
Birria,beef chili onion tomato oregano,Mexican,90
Laab,pork mint lime chili onion rice,Thai,20
Puttanesca,pasta tomato olive caper anchovy,Italian,25
Aloo Paratha,wheat potato onion cumin coriander butter,Indian,30
Char Kway Teow,noodle shrimp egg bean-sprout soy,Chinese,20
Quesabirria,beef tortilla cheese onion lime,Mexican,40
Tod Mun,fish red-curry bean egg oil,Thai,25
Focaccia,dough olive-oil rosemary salt,Italian,45
Saag Paneer,spinach paneer onion garlic cream,Indian,35
Turnip Cake,turnip rice-flour sausage shrimp scallion,Chinese,40
Sopas,pasta chicken milk sausage carrot,Mexican,30
Khao Tom,rice pork ginger fish-sauce egg,Thai,20
Arancini,rice cheese tomato breadcrumb egg,Italian,45
Dosa Masala,rice-batter potato onion mustard chili,Indian,25
Congee,rice pork ginger scallion egg,Chinese,40
Flautas,tortilla chicken cheese cream,Mexican,30
Pad Krapao,pork basil egg chili garlic soy,Thai,15
Risotto Milanese,rice saffron onion wine parmesan butter,Italian,40
Palak Dal,spinach lentil onion tomato cumin,Indian,35
Snow Fungus Soup,snow-fungus pear rock-sugar wolfberry,Chinese,40
Chilaquiles,tortilla-chip egg salsa cheese cream,Mexican,20
Yam Nua,beef cucumber tomato onion lime chili,Thai,20
Gnocchi Gorgonzola,gnocchi gorgonzola cream walnut sage,Italian,25
Baingan Bharta,eggplant tomato onion garlic coriander,Indian,35
Claypot Rice,rice chicken mushroom sausage soy ginger,Chinese,40
Mole Chicken,chicken chocolate chili tomato onion spice,Mexican,90
Kanom Krok,coconut rice-flour sugar egg scallion,Thai,25
Sarde in Saor,sardine onion raisin pine-nut vinegar,Italian,30
Halwa,semolina sugar butter cardamom cashew,Indian,25
Zha Jiang Mian,noodle pork bean-paste cucumber soy garlic,Chinese,30
Tres Leches,cake milk cream sugar egg vanilla,Mexican,45
Kai Jeow,egg fish-sauce oil scallion,Thai,10
Panzanella,bread tomato cucumber onion basil vinegar,Italian,20
Kheer,rice milk sugar cardamom saffron,Indian,40
Char Siu Bao,pork hoisin bun soy garlic honey,Chinese,45
Pozole Verde,pork tomatillo hominy cilantro onion,Mexican,90
Yam Som O,pomelo shrimp coconut lime peanut chili,Thai,20
Torta Caprese,chocolate almond butter egg sugar,Italian,50
Momos,dough chicken onion ginger garlic coriander,Indian,40
Dan Dan Noodles,noodle pork sesame soy chili garlic,Chinese,25
Sopapillas,flour butter sugar honey cinnamon,Mexican,25
Gaeng Keow Wan,chicken eggplant coconut basil pepper,Thai,30
Vitello Tonnato,veal tuna caper mayo lemon,Italian,30
Tandoori Chicken,chicken yogurt spice lemon garlic ginger,Indian,50
Har Gow,shrimp wrapper bamboo ginger scallion,Chinese,35
Camarones al Mojo,shrimp garlic lime butter cilantro,Mexican,20
Khanom Buang,egg crepe coconut sugar shrimp,Thai,30
Acqua Pazza,fish tomato garlic olive-oil parsley,Italian,25
Prawn Masala,shrimp tomato onion coconut garlic,Indian,30
Hot and Sour Soup,tofu mushroom bamboo vinegar egg soy,Chinese,25
Cochinita Pibil,pork orange lime garlic achiote,Mexican,90
Gaeng Som,fish shrimp tomato eggplant tamarind,Thai,30
Ribollita Toscana,bean kale bread carrot onion tomato,Italian,60
Rasam,tomato tamarind pepper garlic mustard,Indian,20
Turnip Stew,turnip pork soy ginger scallion,Chinese,35
Sopa de Lima,chicken lime tortilla onion tomato,Mexican,30
Yam Woon Sen,noodle shrimp pork onion lime chili,Thai,20
Pasta e Fagioli,pasta bean tomato rosemary garlic,Italian,40
Methi Chicken,chicken fenugreek onion tomato garlic,Indian,45
Ma Po Eggplant,eggplant pork bean-paste soy garlic,Chinese,25
Arroz con Leche,rice milk cinnamon sugar vanilla,Mexican,30
Tom Saap,pork rib lemongrass lime mushroom chili,Thai,40
Arista,pork rosemary garlic fennel olive-oil wine,Italian,90
Chicken Keema,chicken pea onion tomato garlic ginger,Indian,30
Sichuan Wontons,pork wrapper chili soy garlic sesame,Chinese,30
Aguachile,shrimp lime cucumber onion cilantro chili,Mexican,15
Penang Curry,chicken potato coconut shallot curry-paste,Thai,35
Saltimbocca,veal ham sage butter wine,Italian,25
Prawn Biryani,shrimp rice onion saffron yogurt,Indian,50
Zongzi,rice pork mushroom chestnut bamboo-leaf,Chinese,90
Tamale de Rajas,pepper cheese corn-dough cream,Mexican,75
Boat Noodles,beef noodle broth basil bean-sprout blood,Thai,30
Carbonara,pasta egg guanciale cheese pepper,Italian,25
Kadhi Pakora,yogurt gram-flour onion mustard curry,Indian,40
Eight Treasure Congee,rice barley bean peanut date wolfberry,Chinese,50
Capirotada,bread piloncillo cheese peanut raisin,Mexican,45
Gaeng Massaman Nua,beef peanut coconut onion potato cardamom,Thai,50
Farrotto,farro mushroom onion wine parmesan,Italian,40
Pongal,rice lentil ghee pepper cumin ginger,Indian,25
Stinky Tofu,tofu cabbage chili scallion fermented,Chinese,20
Sopa Azteca,tortilla chicken tomato chili cream cheese,Mexican,30
Khanom Jeen Nam Ya,noodle fish coconut lemongrass shallot,Thai,35
Pappardelle Ragu,pasta beef wine tomato rosemary celery,Italian,60
Sindhi Curry,potato drumstick tomato tamarind besan,Indian,40
Preserved Egg Porridge,rice preserved-egg pork scallion ginger,Chinese,25
Caldo de Res,beef carrot potato corn cabbage cilantro,Mexican,60
Jok,rice pork egg ginger scallion fish-sauce,Thai,30
Pizzoccheri,buckwheat-pasta potato cabbage cheese butter,Italian,40
Dalma,lentil vegetable tomato onion coconut,Indian,35
Three Cup Chicken,chicken soy sesame basil garlic ginger,Chinese,30
Menudo,tripe hominy chili onion oregano lime,Mexican,120
Nam Tok Nua,beef lime mint shallot chili rice,Thai,20
Pasta al Forno,pasta beef tomato cheese bechamel,Italian,60
Dhansak,lentil lamb pumpkin tomato spice,Indian,60
Twice Cooked Pork,pork cabbage bean-paste soy pepper,Chinese,30
Sopa de Fideo,noodle tomato onion garlic chicken-broth,Mexican,20
Gang Jued,pork tofu noodle cabbage broth pepper,Thai,20
Ribollita Minestra,bean spinach onion carrot bread tomato,Italian,50
Bhindi Masala,okra tomato onion garlic cumin,Indian,25
Turnip Pork Rib Soup,pork rib turnip ginger scallion salt,Chinese,50
Champurrado,chocolate corn milk piloncillo cinnamon,Mexican,20
Gaeng Phed,duck coconut chili tomato basil,Thai,35
Risotto al Barolo,rice wine onion parmesan butter beef-broth,Italian,40
Kosha Mangsho,lamb onion tomato yogurt ginger spice,Indian,60
Chicken Chow Mein,noodle chicken onion cabbage soy carrot,Chinese,20
Cocido Mexicano,beef chickpea carrot potato cabbage corn,Mexican,90
Khao Kluk Kapi,rice shrimp-paste egg mango onion lime,Thai,25
Bagna Cauda,garlic anchovy butter olive-oil cream,Italian,25
Fish Amritsari,fish gram-flour onion garlic ginger ajwain,Indian,30
Beef Noodle Soup,beef noodle broth bok-choy soy spice,Chinese,60
Arroz Verde,rice poblano cilantro onion garlic,Mexican,25
Rad Na,noodle beef broth gravy egg broccoli,Thai,25
Boscaiola,pasta sausage mushroom cream onion,Italian,30
Laal Maas,lamb chili onion garlic yogurt,Indian,60
Century Egg Tofu,tofu egg scallion soy sesame,Chinese,10
Mole Negro,turkey chocolate chili banana spice,Mexican,120
Krapao Moo,pork basil chili garlic egg soy,Thai,15
Ragù alla Napoletana,beef tomato onion celery carrot wine,Italian,90
Pesarattu,moong-dal rice onion ginger chili,Indian,20
Steamed Egg,egg broth soy scallion sesame,Chinese,20
Tamale de Frijoles,bean corn-dough chili onion,Mexican,60
Yam Talay,seafood lime chili lemongrass onion,Thai,20
Pasta al Pistacchio,pasta pistachio cream garlic lemon,Italian,20
Murgh Musallam,chicken onion tomato egg yogurt spice,Indian,60
Suan Cai Yu,fish sauerkraut chili garlic ginger,Chinese,30
Tlayudas,tortilla bean cheese meat asiento,Mexican,30
Som Tum Pu,crab papaya tomato lime peanut chili,Thai,15
Acquacotta,bread egg tomato celery onion,Italian,35
Haleem,wheat lamb onion ginger garlic spice,Indian,90
Braised Peanuts,peanut soy five-spice garlic star-anise,Chinese,50
Michelada,beer lime tomato hot-sauce salt,Mexican,10
Khanom Pang Na Goong,bread shrimp coriander garlic egg,Thai,25
Grilled Polenta,polenta parmesan mushroom butter thyme,Italian,35
Chhole Bhature,chickpea flour onion tomato garlic spice,Indian,50
Wonton Noodle Soup,pork shrimp noodle broth bok-choy,Chinese,30
Ceviche,fish lime onion cilantro tomato chili,Mexican,20
Khao Niao Mamuang,rice mango coconut sugar sesame,Thai,25
Farro Soup,farro bean vegetable onion rosemary,Italian,45
Pesaran,lentil rice onion carrot cumin,Indian,30
Bitter Melon Stir Fry,bitter-melon pork egg soy garlic black-bean,Chinese,20
Elote,corn lime cheese chili butter mayo,Mexican,15
Kaeng Kari,chicken potato coconut carrot curry-paste,Thai,35
Orecchiette Broccoli Rabe,pasta broccoli-rabe garlic chili anchovy,Italian,25
Nihari,beef onion ginger garlic flour spice,Indian,90
Winter Melon Soup,winter-melon pork ginger scallion salt,Chinese,35
Sopa de Tortilla,tortilla tomato onion garlic cream cheese,Mexican,25
Pla Kapong Neung,fish lime garlic chili broth,Thai,25
Pasta ai Funghi,pasta mushroom cream garlic parsley,Italian,25
Shahi Tukda,bread cream milk saffron sugar cardamom,Indian,30
Chinese Broccoli Oyster,broccoli oyster soy garlic ginger,Chinese,15
Tamale de Elote,corn sugar butter egg cream,Mexican,45
Pad Med Mamuang,chicken cashew pepper onion soy garlic,Thai,20
Saltimbocca Romano,chicken ham sage butter white-wine,Italian,25
Khandvi,chickpea-flour yogurt mustard sesame curry,Indian,30
Jellyfish Salad,jellyfish cucumber sesame soy vinegar,Chinese,20
Guajillo Chicken,chicken guajillo onion garlic orange,Mexican,40
Nam Prik Ong,tomato pork chili shrimp-paste garlic,Thai,25
Ribollita al Pesto,bean kale bread carrot basil pine-nut,Italian,55
Murmura,puffed-rice onion tomato chili coriander,Indian,10
Glutinous Rice Chicken,rice chicken mushroom soy scallion,Chinese,60
Caldo Tlalpeño,chicken chickpea chipotle epazote carrot,Mexican,45
Pad Pak,vegetable oyster soy garlic chili,Thai,10
Minestrone,pasta bean tomato carrot zucchini basil,Italian,40
Kadala Curry,chickpea coconut onion tomato mustard,Indian,40
Fish Ball Noodle,fish-ball noodle bok-choy broth soy,Chinese,20
Chiles en Nogada,pepper beef walnut cream pomegranate,Mexican,60
Koi Soi,beef blood chili broth noodle scallion,Thai,35
Pasta alla Norma,pasta eggplant tomato ricotta basil,Italian,30
Nawabi Korma,chicken almond cream onion saffron,Indian,50
Pork Chop Rice,rice pork soy garlic egg,Chinese,25
Sopa de Albondigas,meatball carrot tomato onion cilantro,Mexican,40
Khanom Chin Nam Prik,noodle pork chili coconut lemongrass,Thai,30
Coniglio all'Ischitana,rabbit tomato wine onion rosemary,Italian,60
Poha,flattened-rice onion mustard turmeric peanut,Indian,15
Steamed Pork Ribs,rib black-bean garlic chili soy,Chinese,35
Frijoles Charros,bean pork bacon onion chili tomato,Mexican,50
Miang Kham,spinach coconut peanut shrimp onion lime,Thai,20
Scaloppine al Marsala,veal marsala mushroom butter flour,Italian,25
Bhuni Khichdi,rice lentil onion cumin ghee tomato,Indian,30
Pork Belly Bun,pork bun soy hoisin cucumber scallion,Chinese,40
Pozole Rojo,pork hominy chili garlic onion cumin,Mexican,90
Gaeng Keow Wan Nuea,beef eggplant coconut basil lime,Thai,35
Pasta con le Sarde,pasta sardine raisin pine-nut fennel,Italian,30
Uttapam Masala,rice-batter cheese onion pepper tomato,Indian,20
Taro Cake,taro rice-flour mushroom sausage scallion,Chinese,40
Tamale Verde,pork tomatillo chili cilantro corn-dough,Mexican,75
Tom Som Pla,fish tamarind lemongrass galangal lime,Thai,25
Pasta al Tartufo,pasta truffle cream butter parmesan,Italian,20
Sev Puri,puffed-rice chutney potato onion yogurt,Indian,15
Har Gow Cheung Fun,shrimp rice-roll soy hoisin sesame,Chinese,30
Mole Amarillo,chicken pepper tomato tomatillo corn,Mexican,60
Gaeng Pa,pork bamboo-shoot kaffir chili eggplant,Thai,30
Pappardelle Cinghiale,pasta boar tomato wine rosemary,Italian,70
Egg Bhurji,egg onion tomato chili coriander,Indian,15
Smoked Tea Duck,duck tea smoke scallion ginger soy,Chinese,90
Sopa de Flor,zucchini-flower chicken cream cheese,Mexican,30
Yam Ma Kheua Yao,eggplant shrimp lime chili fish-sauce,Thai,20
Linguine alle Vongole,pasta clam garlic wine parsley,Italian,20
Jeera Rice,rice cumin bay ghee onion,Indian,20
Beggar's Chicken,chicken mushroom bamboo lotus-leaf soy,Chinese,90
Chilpachole,crab tomato chipotle epazote onion,Mexican,40
Khao Mok Gai,rice chicken curry turmeric onion,Thai,40
Fettuccine al Ragù,pasta beef tomato carrot onion wine,Italian,55
Crab Curry,crab coconut tomato onion garlic,Indian,40
Chrysanthemum Soup,chrysanthemum pork tofu ginger scallion,Chinese,20
Capirotada Seca,bread sugar cinnamon raisin cheese,Mexican,40
Gaeng Nor Mai,bamboo-shoot pork coconut chili kaffir,Thai,30
Pesto alla Genovese,basil pine-nut parmesan garlic olive-oil,Italian,10
Pulao,rice pea carrot onion spice ghee,Indian,30
Black Bean Soup,black-bean pork garlic soy five-spice,Chinese,45
Chiles Toreados,pepper onion soy lime salt,Mexican,15
Hor Mok Talay,seafood coconut egg red-curry lemongrass,Thai,35
Scaloppine al Limone,veal lemon butter caper parsley,Italian,20
Kachori,flour lentil pepper cumin oil,Indian,30
Turnip Shortrib Braise,shortrib turnip soy star-anise ginger,Chinese,60
Sopa de Res,beef carrot onion tomato potato cilantro,Mexican,60
Khao Yam,rice herb coconut shrimp-paste lime,Thai,20
Pasta alla Boscaiola,pasta mushroom sausage cream onion,Italian,30
Hyderabadi Biryani,rice lamb saffron onion yogurt spice,Indian,75
Lotus Root Stir Fry,lotus-root pork soy garlic ginger,Chinese,20
Tamale de Rajas con Queso,pepper cheese corn-dough cream onion,Mexican,70
Gang Kari Gai,chicken coconut potato curry onion carrot,Thai,35
Risotto al Nero,rice squid-ink shrimp onion wine butter,Italian,40
Shakshuka,egg tomato pepper onion garlic cumin,Indian,25
Nian Gao,glutinous-rice sugar sesame oil egg,Chinese,40
Albondigas Soup,meatball tomato carrot potato zucchini,Mexican,40
Tom Klong Pla,fish tamarind onion lemongrass chili,Thai,25
Grigliata Mista,chicken sausage pepper onion mushroom oil,Italian,35
Fish Curry Coconut,fish coconut tomato onion mustard,Indian,30
Suancai Fish,fish sauerkraut chili garlic ginger tofu,Chinese,30
Puerco en Adobo,pork chili vinegar onion garlic oregano,Mexican,50
Yam Khai Dao,egg tomato shallot chili lime fish-sauce,Thai,15
Gnudi,ricotta spinach egg parmesan butter,Italian,30
Banana Leaf Fish,fish coconut banana-leaf turmeric chili,Indian,35
Dongpo Pork,pork soy wine sugar scallion ginger,Chinese,90
Enchiladas Suizas,tortilla chicken cream tomatillo cheese,Mexican,35
Yam Hua Plee,banana-blossom shrimp coconut lime chili,Thai,25
Paccheri al Sugo,pasta beef tomato wine basil garlic,Italian,45
Dal Makhani,lentil butter cream tomato garlic ginger,Indian,60
Pork Blood Tofu,pork blood tofu scallion soy chili,Chinese,20
Tortas Ahogadas,pork roll tomato chili onion,Mexican,30
Kaeng Tai Pla,fish-entrails bamboo potato bean eggplant,Thai,40
Carbonara di Zucca,pasta pumpkin guanciale cream egg,Italian,30
Gobi Manchurian,cauliflower egg cornflour soy garlic ginger,Indian,30
Snake Bean Salad,snake-bean shrimp coconut lime peanut chili,Chinese,15
Camarones en Chipotle,shrimp chipotle cream onion garlic,Mexican,20
Khanom Jeen Sao Nam,noodle pineapple coconut shrimp ginger,Thai,30
Tagliatelle al Ragù,pasta beef pork tomato wine carrot,Italian,60
Pesarattu Upma,moong-dal semolina onion ginger cashew,Indian,25
Tofu Braised Pork,pork tofu soy dark-soy sugar garlic,Chinese,40
Camarones a la Diabla,shrimp guajillo chipotle garlic tomato,Mexican,25
Pad Pak Bung,morning-glory garlic chili oyster soy,Thai,10
Tagliolini al Tartufo,pasta truffle butter parmesan,Italian,20
Sindhi Sai Bhaji,spinach chickpea tomato onion potato,Indian,40
Sautéed Pea Shoots,pea-shoot garlic oil soy salt,Chinese,10
Sopa de Papas,potato onion tomato cream cilantro,Mexican,25
Pla Muek Yang,squid lime chili garlic fish-sauce,Thai,20
Pasta con Piselli,pasta pea pancetta onion parmesan,Italian,25
Kozhikodan Biryani,rice chicken coconut onion spice,Indian,60
